cod_distrito,tipo_accidente,estado_meteorológico,coordenada_x_utm,coordenada_y_utm,fecha_month,fecha_day,hora_hour,hora_minute,sexo_Mujer,sexo_Hombre,sexo_Desconocido,tipo_vehiculo_movilidad_urbana_ligera,tipo_vehiculo_vehículos_ligeros_motorizados,tipo_vehiculo_vehículos_personales_y_utilitarios,tipo_vehiculo_transporte_pesado,tipo_vehiculo_remolques,tipo_vehiculo_sin_especificar,rango_edad_0,rango_edad_0-17,rango_edad_18-24,rango_edad_25-34,rango_edad_35-44,rango_edad_45-59,rango_edad_60+,tipo_persona_Conductor,tipo_persona_Pasajero,tipo_persona_Peatón,positiva_alcohol,cod_lesividad
13,7,0,442997.0,4470675.0,1,2,13,30,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0
20,6,0,448270.0,4474626.0,1,1,22,2,1,1,0,1,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1
11,7,6,436451.0,4470141.0,1,2,16,15,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0
10,3,3,438057.0,4472792.0,1,2,17,30,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,6
11,6,3,438402.0,4471552.0,1,2,17,50,1,2,1,0,0,3,1,0,0,1,0,0,1,1,0,1,4,0,0,0,1
16,0,0,446482.0,4479976.0,1,2,19,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2
2,0,0,442532.0,4471491.0,1,2,18,25,1,2,0,0,0,3,0,0,0,0,0,0,0,1,0,2,2,1,0,0,0
1,2,5,440785.0,4475122.0,1,2,19,30,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1
2,3,5,441193.0,4471426.0,1,2,19,20,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2
10,3,5,434980.0,4469063.0,1,2,19,40,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,6
6,6,0,441001.0,4480225.0,1,2,20,57,1,2,0,0,0,3,0,0,0,0,0,0,0,0,3,0,2,1,0,0,0
17,2,0,439467.0,4466286.0,1,2,19,30,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,1,1,0,1,0,3
11,3,5,435979.0,4468078.0,1,2,21,30,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
13,0,3,443665.0,4473041.0,1,2,20,15,3,2,0,0,0,5,0,0,0,0,2,0,0,3,0,0,2,3,0,0,1
13,10,3,443670.0,4473036.0,1,2,20,16,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
15,7,5,446279.0,4474546.0,1,2,21,13,2,1,0,0,1,2,0,0,0,0,0,1,0,1,1,0,2,1,0,0,2
13,0,0,443241.0,4472200.0,1,2,20,25,3,0,0,0,0,3,0,0,0,0,1,1,1,0,0,0,2,1,0,0,2
17,8,6,440560.0,4465071.0,1,2,22,0,2,1,0,0,0,3,0,0,0,0,0,0,1,1,1,0,3,0,0,0,0
13,0,0,444632.0,4472730.0,1,2,21,30,1,3,0,0,0,4,0,0,0,0,0,0,1,0,1,2,2,2,0,0,1
5,4,0,442451.0,4476956.0,1,3,0,40,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,1,2,0,0,1,1
8,3,3,441532.0,4481947.0,1,2,23,38,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2
19,10,0,447531.0,4471987.0,1,2,23,25,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0
12,4,0,440442.0,4470335.0,1,3,3,30,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
6,4,3,441502.0,4478998.0,1,3,6,0,0,3,0,0,0,3,0,0,0,1,0,0,2,0,0,0,2,1,0,0,1
13,2,0,442959.0,4471395.0,1,3,6,15,2,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,4
17,6,3,439712.0,4465531.0,1,3,6,55,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
12,2,3,440208.0,4470165.0,1,3,7,20,1,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1
12,7,3,439950.0,4471495.0,1,3,8,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,2,0,0,0,4
3,6,2,443174.0,4473636.0,1,3,7,15,1,4,0,0,0,1,0,0,4,0,0,0,4,0,1,0,2,3,0,0,2
6,0,2,440364.0,4478099.0,1,3,8,30,0,2,0,1,0,1,0,0,0,0,0,0,0,1,1,0,2,0,0,0,2
11,6,2,437710.0,4471888.0,1,3,7,38,1,1,0,0,0,2,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0
3,6,3,443183.0,4472201.0,1,3,8,55,0,2,0,0,0,1,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0
17,8,3,440579.0,4468277.0,1,3,9,35,0,0,3,0,0,2,0,0,1,3,0,0,0,0,0,0,3,0,0,0,0
12,4,3,441341.0,4470249.0,1,3,8,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
20,4,6,449722.0,4477849.0,5,14,12,15,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
4,6,0,443924.0,4475859.0,6,18,11,20,2,1,0,0,0,3,0,0,0,0,0,0,0,0,3,0,2,1,0,1,2
21,10,3,450086.0,4479974.0,6,20,12,30,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0
7,0,0,439413.0,4476323.0,6,25,12,35,1,2,0,0,0,1,2,0,0,0,0,1,2,0,0,0,2,1,0,1,1
8,5,0,439669.0,4480526.0,6,25,17,52,1,3,0,0,1,3,0,0,0,0,0,0,0,3,1,0,3,1,0,1,1
20,4,0,448994.0,4477855.0,7,5,17,30,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1
12,8,0,440426.0,4471576.0,7,5,17,45,1,6,0,0,0,7,0,0,0,0,0,0,5,1,1,0,3,4,0,1,2
15,3,0,444071.0,4478932.0,7,18,3,10,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2
12,4,0,441206.0,4469997.0,7,18,3,45,3,2,0,0,0,5,0,0,0,0,0,4,1,0,0,0,1,4,0,1,1
13,7,6,445658.0,4471158.0,8,22,1,13,1,1,2,0,0,4,0,0,0,2,0,0,0,0,0,2,3,1,0,1,0
18,6,2,447640.0,4469154.0,10,17,1,5,0,4,0,0,1,3,0,0,0,0,0,2,0,1,1,0,2,2,0,0,1
11,6,2,437920.0,4472518.0,10,17,1,49,4,1,0,0,1,4,0,0,0,0,0,0,2,3,0,0,2,3,0,1,1
10,3,3,438247.0,4473924.0,1,3,11,30,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2
5,7,6,443371.0,4479655.0,1,3,12,25,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0
4,3,3,441709.0,4475584.0,1,3,11,30,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2
10,4,5,434223.0,4470119.0,1,3,8,35,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
20,6,6,447167.0,4474242.0,1,3,13,10,2,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0
5,3,5,442511.0,4478722.0,1,3,13,5,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2
7,7,6,439280.0,4475807.0,1,3,13,20,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0
1,0,5,440968.0,4474493.0,1,3,13,15,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0
16,2,5,445322.0,4480896.0,1,3,13,0,1,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,1,0,2
7,0,5,439755.0,4475732.0,1,3,12,40,2,4,0,0,0,6,0,0,0,0,2,0,0,2,1,1,2,4,0,0,2
4,8,5,442622.0,4475136.0,1,3,13,30,1,2,0,0,0,2,1,0,0,0,0,0,1,1,1,0,3,0,0,0,1
4,6,5,442244.0,4476003.0,1,3,12,40,5,2,0,0,0,7,0,0,0,0,4,0,0,0,2,1,2,5,0,0,0
11,4,0,438900.0,4469616.0,1,3,12,40,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
4,3,3,441738.0,4475765.0,1,3,13,55,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5
17,6,6,441286.0,4466297.0,1,3,15,8,1,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0
